Course Code,Description,Start Date,End Date,Start Time,End Time,Day of Week,Hours,Weeks,Total Hours,Programme Area,Study Location,Address,Postcode,Latitude,Longitude,Level,Venue,Full Fee,Early Enrolment Fee,Year,Month
EN00027,Makeup: Mother & Daughter ,18/03/2020,18/03/2020,18:00:00,20:03:00,,,1,2.5,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Workshop,Heath (CAL),19.5,15.6,2020,March
EN00028,Makeup: Mother & Daughter ,20/03/2020,20/03/2020,10:00:00,12:03:00,,,1,2.5,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Workshop,Heath (CAL),19.5,15.6,2020,March
EN00029,Mediterranean Cooking ,16/05/2020,16/05/2020,09:03:00,15:00:00,,,1,5,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Beginners,Heath (CAL),39,31.2,2020,May
EN00030,Makeup for Beginners,22/04/2020,03/06/2020,18:00:00,20:03:00,,,6,15,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Beginners,Heath (CAL),117,93.6,2020,April
EN00031,Cake Decorating - Sugar Craft Workshop,22/04/2020,03/06/2020,18:03:00,20:03:00,,,6,12,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Specialised,Heath (CAL),102,81.6,2020,April
EN00032,Cake Decorating ,06/10/2020,15/07/2020,18:03:00,20:03:00,,,6,12,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Specialised,Heath (CAL),102,81.6,2020,October
EN00033,Family History,16/05/2020,16/05/2020,10:00:00,16:00:00,,,1,5.5,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Taster,Heath (CAL),20.9,16.72,2020,May
EN00034,Makeup: Asian Glamour,24/04/2020,24/04/2020,10:00:00,12:03:00,,,1,2.5,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Workshop,Heath (CAL),19.5,15.6,2020,April
EN00035,Daytime Makeup ,15/05/2020,15/05/2020,10:00:00,12:03:00,,,1,2.5,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Workshop,Heath (CAL),19.5,15.6,2020,May
EN00036,Special Occasion/Glamorous Makeup ,06/05/2020,05/06/2020,10:00:00,12:03:00,,,1,2.5,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Workshop,Heath (CAL),19.5,15.6,2020,May
EN00037,Bridal/Guest Makeup,06/12/2020,12/06/2020,10:00:00,12:03:00,,,1,2.5,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Workshop,Heath (CAL),19.5,15.6,2020,December
