Course Code,Description,Start Date,End Date,Start Time,End Time,Day of Week,Hours,Weeks,Total Hours,Programme Area,Study Location,Address,Postcode,Latitude,Longitude
AC00001,Drawing & Painting - Improvers,17/09/2019,10/12/2019,13:00:00,15:00:00,Tuesday,2,12,24,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
AC00002,Drawing & Painting - Improvers,19/09/2019,12/12/2019,18:30:00,20:30:00,Thursday,2,12,24,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
AC00003,Painting (Mixed Media) - Improvers,18/09/2019,11/12/2019,13:00:00,15:00:00,Wednesday,2,12,24,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
AC00004,Painting (Oils) - Advanced,19/09/2019,12/12/2019,13:00:00,15:00:00,Thursday,2,12,24,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
AC00005,Painting (Watercolours) - Improvers,20/09/2019,13/12/2019,10:00:00,12:00:00,Friday,2,12,24,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
AC00006,Sewing (Back to Basics) - Beginners,18/09/2019,11/12/2019,09:30:00,12:00:00,Wednesday,2.5,12,30,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
AC00007,Sewing (Machine Skills) - Improvers,19/09/2019,12/12/2019,18:00:00,20:30:00,Thursday,2.5,12,30,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
AC00008,Sewing (Fashionable & Modern Clothes) - Advanced,19/09/2019,12/12/2019,09:30:00,12:00:00,Thursday,2.5,12,30,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
CC00002,Bridging English,11/09/2019,04/12/2019,10:00:00,12:00:00,Wednesday,2,12,24,(ENG) English,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
CC00010,GCSE English,12/09/2019,04/06/2020,Various,Various,Thursday,3,32,96,(ENG) English,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
CC00013,Maths (for learners with Dyslexia and Dyscalculia),10/09/2019,28/01/2020,13:00:00,15:30:00,Tuesday,2.5,18,45,(MAT) Maths,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
CC00020,GCSE Maths,10/09/2019,02/06/2020,Various,Various,Tuesday,3,32,96,(MAT) Maths,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
CC00027,Driving Test Theory Preparation/ESOL,01/08/2019,29/08/2019,09:30:00,12:00:00,Thursday,2.5,5,12.5,(ESL) ESOL,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
